Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD,D0 Place,D1 Place,D2 Place,D3 Place,D4 Place,D5 Place,D6 Place,D7 Place,D8 Place,D9 Place,D10 Place,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
15220418,Boston Marathon,"April 18, 2022",Boston,MA,24607,14065,10542,2:06:51,2:21:01,3:45:09,0:43:49,1,2461,4922,7382,9843,12304,14764,17225,19685,22146,24607,2:06:51,2:56:45,3:08:39,3:18:43,3:27:55,3:37:15,3:46:59,3:59:05,4:17:39,4:48:26,7:01:32
15211011,Boston Marathon,"October 11, 2021",Boston,MA,15374,7941,7433,2:09:51,2:24:45,3:53:59,0:47:55,1,1538,3075,4612,6150,7687,9224,10762,12299,13836,15374,2:09:51,2:59:57,3:14:01,3:24:56,3:35:06,3:45:28,3:56:34,4:11:18,4:30:26,5:00:15,7:51:35
15190415,Boston Marathon,"April 15, 2019",Boston,MA,26632,14662,11970,2:07:57,2:23:31,3:53:01,0:44:59,1,2664,5327,7990,10653,13316,15979,18642,21305,23968,26632,2:07:57,3:00:15,3:14:41,3:25:41,3:35:29,3:45:35,3:56:11,4:10:46,4:28:45,4:57:27,7:43:48
15180416,Boston Marathon,"April 16, 2018",Boston,MA,25746,14142,11604,2:15:58,2:39:54,3:57:09,0:46:35,1,2575,5150,7724,10299,12873,15448,18022,20597,23171,25746,2:15:58,3:05:10,3:19:10,3:29:13,3:38:36,3:48:03,3:58:14,4:12:02,4:31:17,5:03:33,8:22:05
15170417,Boston Marathon,"April 17, 2017",Boston,MA,26411,14438,11973,2:09:37,2:21:52,3:58:03,0:42:08,1,2642,5283,7924,10565,13206,15847,18488,21129,23770,26411,2:09:37,3:09:11,3:23:00,3:33:22,3:42:56,3:51:39,4:00:59,4:14:12,4:30:47,4:57:45,7:58:14
15160418,Boston Marathon,"April 18, 2016",Boston,MA,26639,14471,12168,2:12:45,2:29:19,3:55:03,0:41:02,1,2664,5328,7992,10656,13320,15983,18647,21311,23975,26639,2:12:45,3:08:42,3:21:34,3:31:00,3:39:30,3:48:08,3:56:59,4:09:15,4:25:44,4:53:12,8:25:09
15150420,Boston Marathon,"April 20, 2015",Boston,MA,26610,14588,12022,2:09:17,2:24:55,3:46:28,0:40:31,1,2661,5322,7983,10644,13305,15966,18627,21288,23949,26610,2:09:17,3:00:04,3:13:06,3:23:28,3:31:31,3:39:41,3:48:41,3:58:50,4:15:25,4:42:07,8:06:01
15140421,Boston Marathon,"April 21, 2014",Boston,MA,31805,17523,14282,2:08:37,2:18:57,4:02:30,0:50:52,1,3181,6361,9542,12722,15903,19083,22263,25444,28624,31805,2:08:37,3:04:47,3:19:35,3:30:40,3:41:00,3:52:14,4:04:51,4:22:29,4:44:40,5:17:03,8:58:53
15130415,Boston Marathon,"April 15, 2013",Boston,MA,17580,10638,6942,2:10:22,2:26:25,3:29:52,0:23:07,1,1758,3516,5274,7032,8790,10548,12306,14064,15822,17580,2:10:22,2:58:18,3:08:50,3:17:36,3:24:44,3:31:16,3:37:41,3:43:51,3:51:02,3:58:43,4:44:14
15120416,Boston Marathon,"April 16, 2012",Boston,MA,21554,12588,8966,2:12:40,2:31:50,4:18:27,0:48:43,1,2156,4311,6466,8622,10777,12932,15088,17243,19398,21554,2:12:40,3:23:02,3:38:32,3:50:20,3:59:53,4:11:04,4:22:48,4:36:27,4:54:54,5:26:21,7:55:15
15110418,Boston Marathon,"April 18, 2011",Boston,MA,23879,13806,10073,2:03:02,2:22:36,3:49:54,0:37:56,1,2388,4776,7164,9552,11940,14327,16715,19103,21491,23879,2:03:02,3:06:48,3:19:00,3:28:23,3:36:36,3:44:58,3:53:17,4:02:23,4:17:34,4:41:16,7:37:43
15100419,Boston Marathon,"April 19, 2010",Boston,MA,22540,13072,9468,2:05:52,2:26:11,3:50:25,0:37:03,1,2254,4508,6762,9016,11270,13524,15778,18032,20286,22540,2:05:52,3:07:35,3:19:32,3:28:54,3:36:37,3:44:17,3:52:38,4:02:00,4:16:42,4:40:53,7:17:47
15090420,Boston Marathon,"April 20, 2009",Boston,MA,22849,13547,9302,2:08:42,2:32:16,3:49:34,0:37:14,1,2285,4570,6855,9140,11425,13709,15994,18279,20564,22849,2:08:42,3:07:26,3:19:38,3:28:40,3:36:21,3:44:04,3:52:30,4:01:24,4:16:23,4:40:05,7:31:36
15080421,Boston Marathon,"April 21, 2008",Boston,MA,21963,13028,8935,2:07:46,2:25:25,3:51:40,0:38:02,1,2197,4393,6589,8785,10982,13178,15374,17570,19766,21963,2:07:46,3:08:35,3:20:35,3:29:36,3:38:08,3:46:13,3:54:38,4:04:35,4:20:08,4:44:32,7:41:09
15070416,Boston Marathon,"April 16, 2007",Boston,MA,20348,12373,7975,2:14:13,2:29:18,3:54:33,0:38:47,1,2035,4070,6105,8139,10174,12209,14243,16278,18313,20348,2:14:13,3:11:02,3:23:44,3:32:27,3:40:42,3:48:41,3:56:42,4:07:27,4:22:53,4:47:58,
15060417,Boston Marathon,"April 17, 2006",Boston,MA,19688,12063,7625,,,,,1,1969,3938,5907,7875,9844,11813,13781,15750,17719,19688,2:07:14,3:08:36,3:20:43,3:29:07,3:36:59,3:44:47,3:53:27,4:02:41,4:17:42,4:41:01,7:49:11
15050418,Boston Marathon,"April 18, 2005",Boston,MA,17549,10894,6655,2:11:45,2:25:13,3:57:41,0:36:53,1,1755,3510,5265,7020,8775,10529,12284,14039,15794,17549,2:11:45,3:14:14,3:29:25,3:42:04,3:49:55,3:51:57,4:05:16,3:58:03,4:19:58,4:55:24,7:25:28
15040419,Boston Marathon,"April 19, 2004",Boston,MA,16743,10504,6239,2:10:37,2:24:27,4:13:02,0:39:24,1,1675,3349,5023,6697,8372,10046,11720,13394,15068,16743,2:10:37,3:22:08,3:37:16,3:55:08,4:02:27,4:14:00,4:17:40,4:25:39,4:35:49,5:09:27,6:45:19
15030421,Boston Marathon,"April 21, 2003",Boston,MA,17046,10737,6309,2:10:11,2:25:20,3:55:19,0:36:47,1,1705,3410,5114,6819,8523,10228,11932,13637,15341,17046,2:10:11,3:11:00,3:23:54,3:33:00,3:41:17,,,,,,
15020415,Boston Marathon,"April 15, 2002",Boston,MA,14400,9149,5251,2:09:02,2:20:43,3:43:01,0:34:23,1,1440,2880,4320,5760,7200,8640,10080,11520,12960,14400,2:09:02,3:04:10,3:14:07,3:20:56,3:32:50,3:40:59,3:51:40,3:52:49,4:12:03,4:26:44,5:35:10
15010416,Boston Marathon,"April 16, 2001",Boston,MA,13395,8586,4809,2:09:43,2:23:53,3:46:44,0:36:36,1,1340,2679,4019,5358,6698,8037,9376,10716,12055,13395,2:09:43,3:05:16,3:17:03,3:26:11,3:38:13,3:45:03,3:44:47,3:59:49,4:14:08,4:37:36,5:51:00
15000417,Boston Marathon,"April 17, 2000",Boston,MA,15680,10207,5473,2:09:47,2:26:11,3:41:39,0:34:26,1,1568,3136,4704,6272,7840,9408,10976,12544,14112,15680,2:09:47,3:02:07,3:12:34,3:21:43,3:29:29,3:36:09,3:44:39,3:50:44,4:12:12,4:28:36,5:50:20
